,ts,open,high,low,close,volume,rec_count,avg_price
0,2022-11-11 14:30:00,284.08,284.08,280.73,282.41,8763.94,412,282.07928691889714
1,2022-11-11 14:45:00,282.54,293.0,282.54,286.11,30856.3,1181,286.6391388857382
2,2022-11-11 15:00:00,286.06,288.0,282.76,285.73,12233.62,925,285.74040440196734
3,2022-11-11 15:15:00,285.77,287.78,284.86,286.86,8091.54,762,286.5936750976945
4,2022-11-11 15:30:00,286.84,286.84,284.0,284.81,6668.73,678,285.0669140151122
5,2022-11-11 15:45:00,284.82,285.85,283.99,285.42,4888.35,625,284.9283747072119
6,2022-11-11 16:00:00,285.45,285.77,281.61,281.61,9039.25,747,283.81965657549
7,2022-11-11 16:15:00,281.63,283.14,279.67,280.0,10224.06,687,281.4286541843456
8,2022-11-11 16:30:00,279.99,282.45,279.43,281.79,7731.31,675,281.1113667024087
9,2022-11-11 16:45:00,281.71,283.5,281.7,282.44,5188.42,518,282.60012832422973
10,2022-11-11 17:00:00,282.37,284.31,282.03,283.39,5786.13,493,283.1852176670762
11,2022-11-11 17:15:00,283.43,284.52,283.27,283.9,3955.19,386,283.8553440669096
12,2022-11-11 17:30:00,283.91,284.38,282.93,284.38,3593.93,400,283.5456017507296
13,2022-11-11 17:45:00,284.36,286.68,283.66,286.19,11467.52,482,285.52159728520235
14,2022-11-11 18:00:00,286.15,288.6,285.88,287.75,7968.41,602,287.65336540162974
15,2022-11-11 18:15:00,287.68,288.46,287.41,287.45,5780.27,428,287.8016680881689
16,2022-11-11 18:30:00,287.49,288.28,285.88,286.5,4187.81,429,287.0624236534132
17,2022-11-11 18:45:00,286.54,287.17,285.67,286.36,2871.89,390,286.40524891273697
18,2022-11-11 19:00:00,286.44,286.73,284.17,286.0,5513.33,520,285.4600033192277
19,2022-11-11 19:15:00,286.19,287.1,286.19,286.74,2450.18,414,286.7133444073497
20,2022-11-11 19:30:00,286.73,287.29,286.17,286.96,4378.46,400,286.90139274996227
21,2022-11-11 19:45:00,286.89,287.7,285.38,287.0,5546.2,395,286.26264638851853
22,2022-11-11 20:00:00,286.93,287.5,285.62,285.65,3097.95,415,286.74944192127066
23,2022-11-11 20:15:00,285.77,286.55,285.15,285.52,4526.39,463,285.81165462984865
24,2022-11-11 20:30:00,285.46,286.46,284.28,284.59,4995.87,490,285.3492807458962
25,2022-11-11 20:45:00,284.78,286.85,284.55,285.53,2991.84,391,285.81409968447514
