Time,Price,Volume,Count,Open,High,Close,Low,ADOSC,NATR,TRANGE
11/11/2022 14:38,16514.112,138.266,50,16540.1,16540.1,16486.5,16486.5,,,
11/11/2022 14:39,16477.125,85.896,52,16489.3,16493.3,16467.7,16461.7,,,31.6
11/11/2022 14:40,16483.79245,166.957,53,16465.5,16496,16492.9,16447.4,,,48.6
11/11/2022 14:41,16513.3193,180.027,57,16492.9,16547.1,16543,16472.8,,,74.3
11/11/2022 14:42,16525.37037,92.253,54,16538.8,16547,16498.3,16498.3,,,48.7
11/11/2022 14:43,16518.77656,145.493,64,16498.3,16547,16499.8,16491.9,,,55.1
11/11/2022 14:44,16525.32941,117.32,51,16502.3,16542,16540.8,16502.3,,,42.2
11/11/2022 14:45,16623.81714,662.534,70,16548,16743.6,16733.5,16540.5,,,203.1
11/11/2022 14:46,16744.72037,615.236,54,16747.6,16815,16788.7,16686.9,,,128.1
11/11/2022 14:47,17034.26379,895.307,58,16829.8,17285.2,17163.6,16828.3,577.0883523,,496.5
11/11/2022 14:48,16998.71887,631.728,53,17184.1,17192.8,16965.9,16901,481.0115854,,291.8
11/11/2022 14:49,16977.77115,570.276,52,16968.7,17067.6,16941,16917.4,273.5483697,,150.2
11/11/2022 14:50,16966.59333,414.207,60,16945.1,17010.4,17006.6,16918.2,284.7385145,,92.2
11/11/2022 14:51,16940.78727,350.564,55,17011.4,17011.8,16865.7,16865.7,151.8878906,,146.1
11/11/2022 14:52,16849.47037,349.113,54,16880,16914.4,16827.8,16803.3,21.64230951,0.773621956,111.1
11/11/2022 14:53,16819.41429,242.036,49,16816.4,16851.8,16832.8,16773.4,6.07701769,0.769608542,78.4
11/11/2022 14:54,16857.77551,206.667,49,16835.8,16884.6,16838.5,16827.2,-40.71008445,0.77056745,57.4
11/11/2022 14:55,16791.45714,276.683,56,16818.1,16824.3,16809.7,16755,-5.208169064,0.795157293,83.5
11/11/2022 14:56,16844.64706,193.816,51,16804.9,16885,16883.6,16802.6,69.36199969,0.794227666,82.4
11/11/2022 14:57,16859.81404,224.158,57,16868.3,16875.5,16841,16841,22.23934148,0.778227738,42.6
11/11/2022 14:58,16887.95,244.933,48,16843.9,16933.9,16933.9,16843.4,78.87335935,0.807650138,92.9
