price ASK,size ASK,price BID,size BID,price BTC,size BTC,Saldo
16704.590163934427,347.21972515,16534.467889908257,449.43035822,16631.23205741627,78.20462,102.21063307000003
16697.507142857143,413.38543806999996,16526.465346534653,494.69749344,16601.16384180791,5.760638,81.31205537000005
16682.005847953216,457.26706072,16510.959064327486,465.45035062,16598.757575757576,1.625311,8.183289899999977
16703.007751937985,383.59150229,16519.962962962964,479.62504716,16654.61214953271,10.49046,96.03354487000001
16772.92261904762,365.10131566999996,16556.973384030418,581.5857918199999,16671.981072555205,4.363636,216.48447614999998
16767.898876404495,466.65916388,16542.470085470086,471.33054956,16658.44600938967,3.3052759999999997,4.671385680000014
16765.387978142076,453.31708441,16549.47177419355,481.64081472,16667.70802919708,2.464498,28.323730309999974
16840.118918918917,434.37198247,16545.970954356846,385.72659904,16747.515325670498,52.142255999999996,-48.64538342999998
16840.118918918917,494.85161935,16586.478260869564,648.09464596,16763.064516129034,23.224346999999998,153.24302660999996
16844.625,431.08531523,16590.978851963748,607.08658567,16752.534818941505,7.252026,176.00127043999998
16837.615789473683,478.01503906,16583.977917981072,642.03374749,16756.711711711712,12.34088,164.01870843
16844.12429378531,448.77255643,16591.97897897898,750.91015875,16750.51724137931,5.490432,302.13760232000004
16845.626436781607,441.45936761,16591.97897897898,625.89313748,16759.245,5.411998,184.43376986999994
16841.620879120877,479.51714853,16574.476510067114,531.88290767,16732.62162162162,11.897577,52.36575914000002
16827.60476190476,496.76562496,16573.976430976432,546.46787651,16719.079069767442,7.319514,49.70225154999997
16828.60576923077,399.90290268,16587.478395061727,542.78337022,16742.835443037973,15.477627,142.88046754000004
16843.623595505618,428.87658175,16589.978723404256,626.96838879,16750.051020408162,9.543045,198.09180703999994
16834.61224489796,461.92620354,16580.977491961414,545.15154899,16733.370860927153,4.49898,83.22534545000002
16833.61111111111,408.93481336,16579.977346278316,557.35884277,16733.266666666666,1.16716,148.42402941
16836.113989637306,473.04194984000003,16584.018927444795,632.07650892,16738.774647887323,5.038244,159.03455908
16840.619565217392,461.84553273,16586.978328173376,584.44007638,16738.41379310345,15.468384,122.59454365000005
16837.615789473683,415.79339374,16585.478125,564.50944887,16749.483870967742,15.110706,148.71605513000003
16854.731707317074,416.30403091,16598.979827089337,607.68119491,16740.929663608564,18.068851000000002,191.37716400000005
16822.43859649123,545.59895388,16570.97594501718,536.10832147,16711.178571428572,9.399823,-9.49063240999999
16813.153846153848,491.85886877,16557.473484848484,583.7147049600001,16703.52475247525,3.629158,91.85583619000005
16828.032258064515,573.62517276,16573.47635135135,500.83056644,16697.248888888887,10.948286,-72.79460632000007
16820.163090128757,394.48524812,16564.474820143885,287.91165639,16706.633027522937,2.406393,-106.57359172999998
16820.66379310345,438.35970041999997,16569.97577854671,526.771548,16707.76551724138,1.438553,88.41184758000009
16825.671171171172,468.33394194,16569.97577854671,552.91426332,16715.170731707316,5.4138779999999995,84.58032138000004
16824.66964285714,523.82959385,16577.89802631579,562.58622706,16727.72463768116,0.671004,38.75663321000002
16842.702127659573,449.44900538,16586.978328173376,581.94181138,16773.86101694915,22.256222,132.49280599999997
16848.6797752809,455.21341178,16592.47904191617,516.63614149,16749.80412371134,4.924097,61.42272971
16847.17679558011,386.0007883,16590.978851963748,688.87581702,16744.5641025641,2.962031,302.87502872
16854.191616766468,444.9620259,16581.977635782747,546.63305864,16765.73275862069,25.389311,101.67103273999993
16852.187134502925,344.60131276,16595.979472140763,569.0703621,16762.1843575419,0.9800409999999999,224.46904934000003
16841.165803108808,377.95029748999997,16589.978723404256,586.2249440100001,16750.637426900586,1.669353,208.2746465200001
16841.666666666668,403.40699179,16585.478125,524.73484965,16740.733695652172,6.691818,121.32785786
16843.67021276596,399.54830065,16579.477272727272,608.47037166,16754.917159763314,58.75004,208.92207100999997
16844.171122994652,482.45927778,16587.978461538463,579.64490054,16754.382494004796,89.787108,97.18562276
16810.603846153845,678.87314553,16553.47265625,548.48476408,16666.394793926247,43.807916999999996,-130.38838145
16815.616,465.21846403,16557.97358490566,537.79873131,16663.14769230769,17.52477,72.58026727999999
16789.095709570956,555.40960833,16531.466981132075,510.59818669,16639.68202764977,8.674212,-44.81142163999999
16790.09634551495,605.42274795,16532.467289719625,514.34429351,16651.76651982379,6.431445,-91.07845443999997
16800.103202846974,581.2656438,16540.969696969696,489.14008897,16650.344537815126,17.373633,-92.12555483
16799.102473498235,471.4681084,16541.469827586207,461.25839507,16670.438144329895,5.984233,-10.20971333
16811.111969111967,508.83825138,16548.97165991903,528.43799863,16677.506493506495,13.820239,19.599747250000064
16811.612403100775,529.27836783,16553.972762645913,485.84482388,16675.356,8.652493,-43.43354395
16813.113725490195,489.93640418,16557.473484848484,455.52845143,16690.46046511628,1.131146,-34.40795274999999
16815.115537848607,522.43153755,16557.473484848484,516.54715779,16681.37786259542,3.518761,-5.884379760000002
16807.10861423221,495.63617725,16571.47602739726,533.9153297400001,16724.37084398977,10.24527,38.27915249000006
16830.631818181817,425.38241195,16572.976271186442,559.38328659,16743.280701754386,6.196117,134.00087464
16926.51282051282,419.51744978,16590.978851963748,601.27374633,16831.280487804877,31.398716,181.75629655
16954.22695035461,438.26575718,16654.484716157207,825.6936914,16893.55033557047,193.810725,387.42793422000005
16972.185792349726,531.2154829,16654.984749455336,803.4105018399999,16870.830985915494,10.819224,272.19501893999995
16968.37172774869,418.56596073000003,16648.984340044743,810.67791098,16878.537037037036,2.777983,392.11195024999995
16975.863636363636,330.08124927,16657.98494623656,823.7731535,16886.484581497796,11.106372,493.69190423000003
