ts_BTC,size BID,price BID,size BTC,price BTC,size ASK,price ASK,Saldo,price BTC_EUR,size BID_norm,price BID_norm,size BID_Low,size BID_Medium,size BID_High,Saldo_binned,price BTC_binned,size BTC_binned
2023-01-02 00:00:00,449.43035822,16534.467889908257,78.20462,16631.23205741627,347.21972515,16704.590163934427,102.21063307000004,15799.670454545456,0.1932800608862923,0.0067428821390649,1,0,0,Low,Low,Low
2023-01-02 01:00:00,494.69749344,16526.465346534653,5.760638,16601.16384180791,413.38543807,16697.507142857143,81.31205537000005,15771.105649717512,0.2127474477493462,0.0044475651486193,1,0,0,Low,Low,Low
2023-01-02 02:00:00,465.45035062,16510.959064327486,1.625311,16598.757575757576,457.26706072,16682.005847953216,8.183289899999977,15768.819696969696,0.2001695489901517,0.0,1,0,0,Low,Low,Low
2023-01-02 03:00:00,479.62504716,16519.962962962964,10.49046,16654.61214953271,383.59150229,16703.007751937985,96.03354487,15821.881542056071,0.2062654571997053,0.0025825291477241,1,0,0,Low,Low,Low
2023-01-02 04:00:00,581.5857918199999,16556.973384030418,4.363636,16671.981072555205,365.10131567,16772.92261904762,216.48447615,15838.382018927445,0.2501142506233346,0.0131979853013124,1,0,0,Medium,Low,Low
2023-01-02 05:00:00,471.33054956,16542.470085470086,3.305276,16658.44600938967,466.65916388,16767.898876404495,4.671385680000014,15825.523708920186,0.2026983617157717,0.0090380993689418,1,0,0,Low,Low,Low
2023-01-02 06:00:00,481.64081472,16549.47177419355,2.464498,16667.70802919708,453.31708441,16765.387978142076,28.323730309999974,15834.322627737229,0.2071323494102637,0.0110463477892865,1,0,0,Low,Low,Low
2023-01-02 07:00:00,385.72659904,16545.970954356846,52.142256,16747.515325670498,434.37198247,16840.118918918917,-48.64538342999998,15910.139559386973,0.1658838998842602,0.0100422306134673,1,0,0,Low,Low,Low
2023-01-02 08:00:00,648.09464596,16586.478260869564,23.224347,16763.064516129034,494.85161935,16840.118918918917,153.24302660999996,15924.91129032258,0.2787167585370617,0.021660675467201,1,0,0,Low,Low,Low
2023-01-02 09:00:00,607.08658567,16590.978851963748,7.252026,16752.534818941505,431.08531523,16844.625,176.00127043999998,15914.908077994429,0.2610810108740165,0.022951550470716,1,0,0,Low,Low,Low
2023-01-02 10:00:00,642.03374749,16583.977917981072,12.34088,16756.711711711712,478.01503906,16837.615789473683,164.01870843,15918.876126126126,0.2761102349592,0.0209435185277184,1,0,0,Low,Low,Low
2023-01-02 11:00:00,750.91015875,16591.97897897898,5.490432,16750.51724137931,448.77255643,16844.12429378531,302.13760232000004,15912.991379310346,0.3229331498169293,0.023238410338072,1,0,0,Medium,Low,Low
2023-01-02 12:00:00,625.89313748,16591.97897897898,5.411998,16759.245,441.45936761,16845.626436781607,184.43376987,15921.282749999998,0.2691688745717301,0.023238410338072,1,0,0,Medium,Low,Low
2023-01-02 13:00:00,531.88290767,16574.476510067114,11.897577,16732.62162162162,479.51714853,16841.620879120877,52.36575914000002,15895.99054054054,0.2287392449099159,0.0182182920590934,1,0,0,Low,Low,Low
