Time,Price,Volume,Count,Open,High,Close,Low,ADOSC,NATR,TRANGE,Price_binned,Volume_binned,ADOSC_binned,NATR_binned,TRANGE_binned
2022-11-11 14:52:00,16849.47037037037,349.113,54,16880.0,16914.4,16827.8,16803.3,21.642309508126004,0.7736219562602068,111.10000000000218,High,Low,Medium,High,Low
2022-11-11 14:53:00,16819.414285714287,242.036,49,16816.4,16851.8,16832.8,16773.4,6.0770176903566835,0.7696085420528127,78.39999999999782,High,Low,Medium,High,Low
2022-11-11 14:54:00,16857.775510204083,206.667,49,16835.8,16884.6,16838.5,16827.2,-40.71008445084806,0.7705674495946737,57.39999999999782,High,Low,Medium,High,Low
2022-11-11 14:55:00,16791.457142857143,276.683,56,16818.1,16824.3,16809.7,16755.0,-5.208169063583796,0.7951572934410187,83.5,High,Low,Medium,High,Low
2022-11-11 14:56:00,16844.647058823528,193.816,51,16804.9,16885.0,16883.6,16802.6,69.3619996879994,0.7942276660322551,82.40000000000146,High,Low,Medium,High,Low
2022-11-11 14:57:00,16859.81403508772,224.158,57,16868.3,16875.5,16841.0,16841.0,22.2393414783744,0.7782277378619594,42.599999999998545,High,Low,Medium,High,Low
2022-11-11 14:58:00,16887.95,244.933,48,16843.9,16933.9,16933.9,16843.4,78.87335934913006,0.8076501376922405,92.90000000000146,High,Low,Medium,High,Low
2022-11-11 14:59:00,16899.9875,203.624,48,16935.0,16948.9,16858.7,16856.2,33.57663810084273,0.8298122367415942,92.70000000000073,High,Low,Medium,High,Low
2022-11-11 15:00:00,16918.49836065574,470.514,61,16843.9,16967.8,16962.8,16830.7,150.78304592674522,0.8179598231948049,137.09999999999854,High,Medium,High,High,Medium
2022-11-11 15:01:00,16960.246153846154,264.119,52,16953.1,16992.9,16927.0,16911.4,133.15725884042877,0.780662058643979,81.5,High,Low,High,High,Low
2022-11-11 15:02:00,16919.454901960784,216.26,51,16917.4,16960.0,16928.9,16883.8,126.48376144656584,0.6240058913061868,76.20000000000073,High,Low,High,High,Low
2022-11-11 15:03:00,16918.195652173912,127.681,46,16931.6,16940.0,16918.3,16900.1,108.69150628870307,0.5174488899922302,39.900000000001455,High,Low,High,Medium,Low
2022-11-11 15:04:00,16902.72857142857,130.541,35,16906.1,16926.8,16856.4,16856.4,49.996037697877114,0.5019550767397266,70.39999999999782,High,Low,Medium,Medium,Low
2022-11-11 15:05:00,16896.321739130435,176.214,46,16859.3,16919.7,16911.6,16858.6,62.641407594633165,0.4868847418340059,63.29999999999927,High,Low,Medium,Medium,Low
2022-11-11 15:06:00,16928.96,194.845,55,16909.1,16969.3,16916.4,16907.5,17.9801960308522,0.45514806144727266,61.79999999999927,High,Low,Medium,Medium,Low
2022-11-11 15:07:00,16902.598076923077,69.116,52,16917.9,16917.9,16890.6,16885.5,-16.993081739629474,0.415247402565792,32.400000000001455,High,Low,Medium,Medium,Low
2022-11-11 15:08:00,16864.61509433962,270.694,53,16889.8,16892.7,16827.4,16825.8,-111.76559893546892,0.42622284026184865,66.90000000000146,High,Low,Medium,Medium,Low
2022-11-11 15:09:00,16756.674,327.147,50,16850.0,16853.7,16638.9,16632.1,-238.07956079286328,0.5544383609760551,221.60000000000218,High,Low,Medium,High,Medium
